ticker,year,statement_date,revenue,net_income,total_debt,equity,current_assets,current_liabilities,profit_margin,roe,debt_to_equity,current_ratio,sector,return_1m,return_1y,return_long_term,sector_encoded,revenue_growth,net_income_growth,debt_growth,equity_growth,label_long_term_custom,label_1y_custom,label_1m_custom
A,2022,2022-10-31,6848000000.0,1254000000.0,2769000000.0,5305000000.0,3778000000.0,1861000000.0,0.1831191588785046,0.2363807728557964,0.5219604147031103,2.030091348737238,Healthcare,0.1202024376321561,-0.2475582986717973,-0.0157049668008757,6,,,,,Hold,Sell,Buy
A,2023,2023-10-31,6833000000.0,1240000000.0,2735000000.0,5845000000.0,4186000000.0,1603000000.0,0.1814722669398507,0.2121471343028229,0.4679213002566296,2.611353711790393,Healthcare,0.2363353008316895,0.2691649821646493,,6,-0.0021904205607476,-0.011164274322169,-0.0122788010111953,0.1017907634307258,,Buy,Buy
A,2024,2024-10-31,6510000000.0,1289000000.0,3390000000.0,5898000000.0,3959000000.0,1895000000.0,0.1980030721966205,0.2185486605629026,0.5747711088504578,2.0891820580474936,Healthcare,0.0711380709327826,0.1322782954958547,,6,-0.0472705985657837,0.039516129032258,0.2394881170018281,0.0090675791274592,,Hold,Buy
A,2025,2025-10-31,6948000000.0,1303000000.0,3354000000.0,6741000000.0,4594000000.0,2347000000.0,0.1875359815774323,0.1932947633882213,0.4975522919448153,1.957392415850021,Healthcare,0.0255534998761637,,,6,0.0672811059907834,0.0108611326609775,-0.0106194690265486,0.1429298067141404,,,Hold
AA,2022,2022-12-31,12451000000.0,-123000000.0,1866000000.0,5076000000.0,5250000000.0,3004000000.0,-0.0098787246004337,-0.0242316784869976,0.367612293144208,1.7476697736351532,Basic Materials,0.171825849558209,-0.2438997814368762,0.7138097852754401,0,,,,,Buy,Sell,Buy
AA,2023,2023-12-31,10551000000.0,-651000000.0,1971000000.0,4251000000.0,4405000000.0,3030000000.0,-0.0617003127665624,-0.1531404375441072,0.4636556104446013,1.453795379537954,Basic Materials,-0.10687483870117,0.1475919615256373,,0,-0.1525981848847482,4.2926829268292686,0.0562700964630225,-0.1625295508274231,,Hold,Sell
AA,2024,2024-12-31,11895000000.0,60000000.0,2768000000.0,5157000000.0,4914000000.0,3395000000.0,0.0050441361916771,0.0116346713205351,0.5367461702540236,1.447422680412371,Basic Materials,-0.0651138201473007,0.4245558590978351,,0,0.127381290872903,-1.0921658986175116,0.4043632673769659,0.2131263232180662,,Buy,Hold
AA,2025,2025-12-31,12831000000.0,1157000000.0,2698000000.0,6118000000.0,5469000000.0,3801000000.0,0.0901722391084093,0.1891140895717555,0.4409937888198758,1.4388318863456986,Basic Materials,0.0954084359800059,,,0,0.0786885245901638,10.0,-0.0252890173410405,0.1863486523172386,,,Buy
AADX,2024,2024-12-31,399790000.0,-34766000.0,610017000.0,165845000.0,244965000.0,113541000.0,-0.0869606543435303,-0.2096294733033857,3.6782357020109138,2.157502576161915,Industrials,0.0,0.0,,7,,,,,,Hold,Hold
AADX,2025,2025-12-31,604343000.0,-49019000.0,669073000.0,159464000.0,291574000.0,94482000.0,-0.0811112232622864,-0.3073985350925601,4.195762052877138,3.086026968099744,Industrials,0.0,,,7,0.5116511168363391,0.4099695104412357,0.0968104167588772,-0.0384756851276794,,,Hold
AAL,2022,2022-12-31,48971000000.0,127000000.0,43688000000.0,-5799000000.0,15269000000.0,21496000000.0,0.0025933715872659,-0.021900327642697,-7.533712709087774,0.7103181987346483,Industrials,0.2668759560136053,0.0549450409608366,0.0675039737678175,7,,,,,Hold,Hold,Buy
AAL,2023,2023-12-31,52788000000.0,822000000.0,40663000000.0,-5202000000.0,13572000000.0,22062000000.0,0.0155717208456467,-0.1580161476355248,-7.81680123029604,0.6151754147402774,Industrials,0.0587797609016366,0.2968750631968909,,7,0.0779440893590084,5.47244094488189,-0.0692409815052188,-0.1029487842731505,,Buy,Buy
AAL,2024,2024-12-31,54211000000.0,846000000.0,37618000000.0,-3977000000.0,13154000000.0,24295000000.0,0.0156056888823301,-0.2127231581594166,-9.458888609504651,0.5414282774233381,Industrials,-0.0292599093489627,-0.1204819474871803,,7,0.0269568841403349,0.0291970802919707,-0.0748838009984507,-0.2354863514033064,,Hold,Hold
AAL,2025,2025-12-31,54633000000.0,111000000.0,36884000000.0,-3727000000.0,12205000000.0,24492000000.0,0.0020317390588106,-0.0297826670244164,-9.896431446203382,0.4983259839947738,Industrials,-0.1069798011405521,,,7,0.0077843980004057,-0.8687943262411347,-0.0195119357754266,-0.0628614533568016,,,Sell
AAMI,2022,2022-12-31,417200000.0,100600000.0,349300000.0,-21600000.0,245700000.0,35900000.0,0.2411313518696069,-4.657407407407407,-16.171296296296298,6.844011142061281,Financial Services,0.1444607041275772,-0.080739853482929,2.784553034471694,5,,,,,Buy,Hold,Buy
AAMI,2023,2023-12-31,426600000.0,65800000.0,346300000.0,40200000.0,293700000.0,41900000.0,0.154242850445382,1.63681592039801,8.614427860696518,7.009546539379475,Financial Services,0.1765960528879054,0.4033663576071447,,5,0.0225311601150526,-0.345924453280318,-0.0085886057829945,-2.861111111111111,,Buy,Buy
AAMI,2024,2024-12-31,505600000.0,85000000.0,341600000.0,20000000.0,266200000.0,41700000.0,0.1681170886075949,4.25,17.08,6.383693045563549,Financial Services,-0.0539104351370282,0.786399731464783,,5,0.1851851851851851,0.2917933130699088,-0.0135720473577822,-0.5024875621890548,,Buy,Hold
AAMI,2025,2025-12-31,563700000.0,80000000.0,261400000.0,60600000.0,305800000.0,263500000.0,0.1419194607060493,1.32013201320132,4.313531353135313,1.1605313092979128,Financial Services,0.1882977673959475,,,5,0.1149129746835442,-0.0588235294117647,-0.2347775175644028,2.03,,,Buy
AAOI,2022,2022-12-31,222818000.0,-66397000.0,155526000.0,184670000.0,183164000.0,138582000.0,-0.2979875952571156,-0.359544051551416,0.8421833540910814,1.3217012310401062,Technology,0.2712766547691991,8.941489670990602,103.59574462148926,9,,,,,Buy,Buy,Buy
AAOI,2023,2023-12-31,217646000.0,-56048000.0,121073000.0,214869000.0,172605000.0,93358000.0,-0.2575190906334139,-0.2608473069637779,0.56347355830762,1.848850660896763,Technology,-0.1583735102857522,0.9721776114015562,,9,-0.0232117692466496,-0.1558654758498124,-0.2215256613042192,0.1635295391779931,,Buy,Sell
AAOI,2024,2024-12-31,249365000.0,-186733000.0,190860000.0,229112000.0,301268000.0,170069000.0,-0.7488340384576825,-0.8150293306330528,0.8330423548308251,1.771445707330554,Technology,-0.242539348508501,-0.0542593588410937,,9,0.145736654935078,2.331662146731373,0.5764043180560487,0.0662869003904704,,Hold,Sell
AAOI,2025,2025-12-31,455715000.0,-38228000.0,248082000.0,733918000.0,675727000.0,257283000.0,-0.0838857619345424,-0.052087562915748,0.3380241389365024,2.6263958364913345,Technology,0.2667813848029292,,,9,0.8275018547109658,-0.7952798916099457,0.2998113800691606,2.203315409057579,,,Buy
AAON,2022,2022-12-31,888788000.0,100376000.0,78251000.0,560714000.0,349116000.0,145567000.0,0.1129358182153674,0.179014613510631,0.1395559946782138,2.3983183001641857,Industrials,0.0199118445049855,0.488848429252793,1.687403869115734,7,,,,,Buy,Buy,Hold
AAON,2023,2023-12-31,1168518000.0,177623000.0,50550000.0,735224000.0,408954000.0,126749000.0,0.1520070722059908,0.2415903180527295,0.0687545564345016,3.2264869939802288,Industrials,-0.0506087495917126,0.5981558136983467,,7,0.3147319720788308,0.7695763927632104,-0.3540018657908524,0.3112281840653168,,Buy,Hold
AAON,2024,2024-12-31,1200635000.0,168559000.0,170964000.0,824582000.0,488212000.0,174905000.0,0.1403915428085971,0.204417510932812,0.2073341402067957,2.791298133272348,Industrials,-0.0110470493761148,-0.3490977884106018,,7,0.0274852419902817,-0.0510294274953131,2.382077151335312,0.1215384699084904,,Sell,Hold
AAON,2025,2025-12-31,1442076000.0,107593000.0,424646000.0,894985000.0,869180000.0,330855000.0,0.0746097986513887,0.1202176572791722,0.4744727565266457,2.627072282419791,Industrials,0.1813770029256958,,,7,0.2010944208689569,-0.3616893787931822,1.483832853700194,0.085380229013003,,,Buy
AAPL,2022,2022-09-30,394328000000.0,99803000000.0,132480000000.0,50672000000.0,135405000000.0,153982000000.0,0.2530964070519973,1.969588727502368,2.614461635617304,0.8793560286267226,Technology,0.1095514865252282,0.2646947179398529,1.2226235441878242,9,,,,,Buy,Buy,Buy
